fragment_id,model,ngram_precision,aligned_precision,aligned_recall,cer_lenient,len_ratio,tier,script_bucket,failure_mode,judged_halluc_severe,judged_canonical,overall_quality
Oxford_Bodleian_MS_heb_a_2_4,kraken_seg,0.4629294755877034,0.2104391052195526,0.1623003194888179,0.7654952076677316,0.44136291600633915,A,aramaic,substantive,True,False,unusable
New_York_JTS_ENA_NS_50_32,gemini_flash,0.4429530201342282,0.06605351170568562,0.049282595134123516,0.7367436057392389,0.4658385093167702,A,hebrew,loop_collapse,True,False,unusable
Cambridge_CUL_T_S_16_125,qwen3_vl_8b_heb_v17_step800,0.41949354992833254,0.02409339294585196,0.34011220196353437,13.3492286115007,14.475367329299914,A,untagged,loop_collapse,True,False,unusable
Cambridge_CUL_T_S_6J3_2,kraken_seg,0.4180929095354523,0.49429657794676807,0.3282828282828283,0.6691919191919192,0.6443057722308893,B,judaeo_arabic,substantive,True,False,unusable
Cambridge_CUL_T_S_16_117,kraken_seg,0.39814814814814814,0.4735557363710334,0.14488424197162061,0.8187702265372169,0.23262932353841445,A,judaeo_arabic,substantive,True,False,unusable
Cambridge_CUL_T_S_16_138,qwen3_vl_8b_heb_v17_step800,0.3904045828857859,0.06945486010960485,0.5749761222540593,7.378223495702006,8.496958637469586,A,judaeo_arabic,substantive,True,False,unusable
Cambridge_CUL_T_S_20_162,kraken_seg,0.38997214484679665,0.4546448087431694,0.26804123711340205,0.5934278350515464,0.6006655574043261,B,judaeo_arabic,substantive,True,False,poor
Cambridge_CUL_T_S_20_162,kraken_raw,0.3888888888888889,0.45217391304347826,0.26804123711340205,0.5940721649484536,0.6023294509151415,B,judaeo_arabic,substantive,False,False,
Cambridge_CUL_T_S_AS_149_9,kraken_seg,0.3538961038961039,0.315,0.19295558958652373,0.6600306278713629,0.6046511627906976,B,untagged,substantive,True,False,unusable
New_York_JTS_ENA_NS_50_32,claude_opus_4_8,0.3409090909090909,0.38657667791526057,0.6431690580162196,1.0842170929507173,1.5062111801242235,A,hebrew,substantive,True,False,poor
Oxford_Bodleian_MS_heb_d_68_101,kraken_seg,0.3305084745762712,0.3801261829652997,0.2997512437810945,0.7002487562189055,0.7357032457496137,A,judaeo_arabic,substantive,True,False,unusable
Cambridge_CUL_T_S_13J17_12,qwen3_vl_8b_heb_v17_step800,0.3245513554791905,0.009161424296097233,0.083986562150056,8.378499440089586,9.34975017844397,A,judaeo_arabic,substantive,True,False,unusable
Cambridge_CUL_T_S_8_4,kraken_seg,0.3223684210526316,0.28241335044929394,0.21653543307086615,0.6594488188976378,0.7418181818181818,B,judaeo_arabic,substantive,True,False,unusable
Oxford_Bodleian_MS_heb_d_66_32,qwen3_vl_8b_heb_v17_step800,0.31380090497737556,0.026899201891812,0.5810983397190294,20.707535121328224,21.15470494417863,A,untagged,substantive,True,False,unusable
Cambridge_CUL_T_S_20_4,qwen3_vl_8b_heb_v17_step800,0.3082585013984985,0.12754169859138328,0.41463881969726,2.5443571565433993,3.2945454545454544,A,judaeo_arabic,substantive,True,False,unusable
Oxford_Bodleian_MS_heb_a_2_4,claude_sonnet_5,0.30445075757575757,0.35536075522589344,0.673482428115016,1.2945686900958466,1.676703645007924,A,aramaic,substantive,True,False,poor
Oxford_Bodleian_MS_heb_b_11_7,gemini_pro,0.30120481927710846,0.42930591259640105,0.07877358490566037,0.8966981132075472,0.10011778563015312,A,judaeo_arabic,substantive,True,False,unusable
Cambridge_CUL_T_S_16_332,gemini_pro,0.28857327307940606,0.4270941054808687,0.3480825958702065,0.640117994100295,0.8229994700582935,B,untagged,substantive,True,False,unusable
Oxford_Bodleian_MS_heb_f_108_63,kraken_seg,0.286697247706422,0.08611599297012303,0.06657608695652174,0.6752717391304348,0.7638888888888888,B,judaeo_arabic,substantive,False,False,poor
Cambridge_CUL_T_S_16_110,gemini_pro,0.28390596745027125,0.4908825674690007,0.3732667775929007,0.610648918469218,0.7660455486542443,B,untagged,substantive,True,False,unusable
Oxford_Bodleian_MS_heb_b_11_7,qwen3_vl_8b_heb_v17_step800,0.26929733471789546,0.0657876377842891,0.44481132075471697,5.931603773584905,6.808009422850413,A,judaeo_arabic,substantive,False,False,
Cambridge_CUL_T_S_16_117,qwen3_vl_8b_heb_v17_step800,0.2610766603756628,0.011216399149100754,0.043315907393577296,3.249937764500871,3.4071013161922252,A,judaeo_arabic,substantive,False,False,
