doc_id,condition,split_frac,cer,len_ratio,hyp_letters,gt_letters
KTIV_990053642270205171_FL201858806,C_crop,0.549,0.479,0.691,226,327
KTIV_990051937530205171_FL202188735,A_page,,0.288,0.891,123,138
KTIV_990051937530205171_FL202188735,B_prompt,,0.2717,0.884,122,138
KTIV_990051937530205171_FL202188735,C_crop,0.446,0.212,1.007,139,138
KTIV_990051937530205171_FL202188734,A_page,,0.1934,1.038,137,132
KTIV_990051937530205171_FL202188734,B_prompt,,0.2099,1.091,144,132
KTIV_990051937530205171_FL202188734,C_crop,0.571,0.221,1.03,136,132
KTIV_990051995720205171_FL203740594,A_page,,0.2434,0.975,119,122
KTIV_990051995720205171_FL203740594,B_prompt,,0.2566,1.041,127,122
KTIV_990051995720205171_FL203740594,C_crop,0.543,0.2961,0.934,114,122
KTIV_990051163180205171_FL201505946,A_page,,0.6593,0.451,1186,2631
KTIV_990051163180205171_FL201505946,B_prompt,,0.5565,1.434,3772,2631
KTIV_990051163180205171_FL201505946,C_crop,0.477,0.141,0.981,2582,2631
KTIV_990051163180205171_FL201505947,A_page,,0.6517,0.426,1117,2625
KTIV_990051163180205171_FL201505947,B_prompt,,0.128,1.002,2629,2625
KTIV_990051163180205171_FL201505947,C_crop,0.543,0.101,0.984,2584,2625
